2011-02-01 00:03:32.298377	T004	19.5
2011-02-01 00:04:22.51083	M009	ON
2011-02-01 00:04:25.507695	M009	OFF
2011-02-01 00:05:07.509762	M009	ON
2011-02-01 00:05:10.42958	M020	ON
2011-02-01 00:05:12.632389	M020	OFF
2011-02-01 00:05:14.850378	M009	OFF
2011-02-01 00:05:18.443049	M009	ON
2011-02-01 00:05:20.300609	M009	OFF
2011-02-01 00:05:27.719303	M009	ON
2011-02-01 00:05:30.282008	M009	OFF
2011-02-01 00:05:34.102115	M009	ON
2011-02-01 00:05:37.844107	M013	ON
2011-02-01 00:05:39.829753	M013	OFF
2011-02-01 00:05:42.482375	M009	OFF
2011-02-01 00:05:46.292206	M009	ON
2011-02-01 00:05:53.013403	M009	OFF
2011-02-01 00:06:18.277559	M009	ON
2011-02-01 00:06:20.265229	M009	OFF
2011-02-01 00:07:27.628664	M009	ON
2011-02-01 00:07:29.608681	M009	OFF
2011-02-01 00:07:59.534703	M009	ON
2011-02-01 00:08:00.603236	M009	OFF
2011-02-01 00:08:02.368613	M009	ON
2011-02-01 00:08:04.581808	M009	OFF
2011-02-01 00:08:22.599066	M009	ON
2011-02-01 00:08:25.527694	M010	ON
2011-02-01 00:08:25.899296	M020	ON
2011-02-01 00:08:27.492974	M020	OFF
2011-02-01 00:08:29.390176	M010	OFF
2011-02-01 00:08:29.45793	M009	OFF
2011-02-01 00:08:36.983206	T005	18
2011-02-01 00:08:37.06484	T003	18.5
2011-02-01 00:08:38.083953	M010	ON
2011-02-01 00:08:38.165912	M009	ON
2011-02-01 00:08:38.243968	M013	ON
2011-02-01 00:08:38.845109	M010	OFF
2011-02-01 00:08:39.278238	M013	OFF
2011-02-01 00:08:42.732064	M013	ON
2011-02-01 00:08:42.89002	M020	ON
2011-02-01 00:08:43.666565	M010	ON
2011-02-01 00:08:44.037853	M012	ON
2011-02-01 00:08:45.498594	M009	OFF
2011-02-01 00:08:45.63867	M013	OFF
2011-02-01 00:08:46.382365	M009	ON
2011-02-01 00:08:47.909559	M009	OFF	Relax end
2011-02-01 00:08:48.454775	M012	OFF
2011-02-01 00:08:48.611911	M020	OFF
2011-02-01 00:08:49.812104	M010	OFF
2011-02-01 00:08:52.490288	M010	ON
2011-02-01 00:08:54.459536	M010	OFF
2011-02-01 00:08:57.122391	M020	ON
2011-02-01 00:08:57.719341	M010	ON
2011-02-01 00:08:59.026055	M012	ON
2011-02-01 00:09:01.925869	M012	OFF
2011-02-01 00:09:04.139127	M010	OFF
2011-02-01 00:09:04.746557	M012	ON
2011-02-01 00:09:06.278958	M013	ON
2011-02-01 00:09:07.564455	M012	OFF
2011-02-01 00:09:09.769034	M020	OFF
2011-02-01 00:09:10.380059	M020	ON
2011-02-01 00:09:11.1911	M013	OFF
2011-02-01 00:09:12.270618	M020	OFF
2011-02-01 00:09:15.997326	M014	ON
2011-02-01 00:09:16.072359	M020	ON
2011-02-01 00:09:17.563132	M020	OFF
2011-02-01 00:09:19.329501	M018	ON
2011-02-01 00:09:19.720753	M014	OFF
2011-02-01 00:09:20.778621	M017	ON
2011-02-01 00:09:24.365104	M019	ON
2011-02-01 00:09:25.815227	M017	OFF
2011-02-01 00:09:25.882594	M019	OFF
2011-02-01 00:09:29.60867	M014	ON
2011-02-01 00:09:30.560845	M018	OFF
2011-02-01 00:09:33.216149	M014	OFF
2011-02-01 00:09:52.270419	M014	ON
2011-02-01 00:09:56.641518	M014	OFF
2011-02-01 00:10:23.440654	M014	ON
2011-02-01 00:10:26.339518	M020	ON
2011-02-01 00:10:28.329265	M014	OFF
2011-02-01 00:10:30.995897	M021	ON
2011-02-01 00:10:32.07092	M020	OFF
2011-02-01 00:10:32.444119	M021	OFF
2011-02-01 00:10:33.308683	M018	ON
2011-02-01 00:10:39.539028	M018	OFF
2011-02-01 00:10:40.371746	M021	ON
2011-02-01 00:10:44.342371	M021	OFF
2011-02-01 00:10:44.409476	M020	ON
2011-02-01 00:10:48.060728	M020	OFF
2011-02-01 00:10:55.847504	M020	ON
2011-02-01 00:10:57.606919	M020	OFF
2011-02-01 00:10:58.900205	M020	ON
2011-02-01 00:11:00.199771	M020	OFF
2011-02-01 00:11:01.225621	M020	ON
2011-02-01 00:11:03.010266	M020	OFF
2011-02-01 00:11:07.979575	M021	ON
2011-02-01 00:11:11.094093	M021	OFF
2011-02-01 00:11:11.931803	M020	ON
2011-02-01 00:11:15.779193	M021	ON
2011-02-01 00:11:17.064143	M020	OFF
2011-02-01 00:11:19.741853	M020	ON
2011-02-01 00:11:22.529564	M021	OFF
2011-02-01 00:11:23.352662	M008	ON
2011-02-01 00:11:24.400206	M006	ON
2011-02-01 00:11:25.842205	M006	OFF
2011-02-01 00:11:25.91823	M020	OFF
2011-02-01 00:11:26.362966	M006	ON
2011-02-01 00:11:27.566168	M008	OFF
2011-02-01 00:11:28.392808	M008	ON
2011-02-01 00:11:30.845408	M020	ON
2011-02-01 00:11:31.688224	M008	OFF
2011-02-01 00:11:32.298242	M006	OFF
2011-02-01 00:11:33.235757	M020	OFF
2011-02-01 00:11:33.614085	M020	ON
2011-02-01 00:11:34.238493	M008	ON
2011-02-01 00:11:35.569071	M006	ON
2011-02-01 00:11:36.321032	M008	OFF
2011-02-01 00:11:36.387942	M020	OFF
2011-02-01 00:11:36.980374	M006	OFF
2011-02-01 00:11:38.501174	M007	ON
2011-02-01 00:11:41.500565	M007	OFF
2011-02-01 00:11:42.541635	M007	ON
2011-02-01 00:11:44.522087	M007	OFF
2011-02-01 00:11:49.658784	M007	ON
2011-02-01 00:11:52.339756	M007	OFF
2011-02-01 00:11:52.754126	M007	ON
2011-02-01 00:11:55.139083	M007	OFF
2011-02-01 00:11:57.485206	M007	ON
2011-02-01 00:11:59.347963	M007	OFF
2011-02-01 00:12:02.593655	M007	ON
2011-02-01 00:12:09.049142	M007	OFF
2011-02-01 00:12:09.438916	M006	ON
2011-02-01 00:12:10.976328	M006	OFF
2011-02-01 00:12:22.484886	M006	ON
2011-02-01 00:12:26.304289	M006	OFF
2011-02-01 00:12:38.17601	M007	ON
2011-02-01 00:12:49.412198	M007	OFF
2011-02-01 00:12:50.242075	M007	ON
2011-02-01 00:12:51.311039	M006	ON
2011-02-01 00:12:52.282962	M008	ON
2011-02-01 00:12:52.350389	M007	OFF
2011-02-01 00:12:52.940307	M006	OFF
2011-02-01 00:12:53.34186	M020	ON
2011-02-01 00:12:56.458047	M008	OFF
2011-02-01 00:12:57.742565	M021	ON
2011-02-01 00:12:59.952264	M020	OFF
2011-02-01 00:13:04.700633	M021	OFF
2011-02-01 00:13:06.901039	M022	ON
2011-02-01 00:13:09.228577	M022	OFF
2011-02-01 00:13:16.576871	M020	ON
2011-02-01 00:13:18.954535	M021	ON
2011-02-01 00:13:19.022284	M020	OFF
2011-02-01 00:13:21.179864	M014	ON	Eating begin
2011-02-01 00:13:22.850099	M014	OFF
2011-02-01 00:13:22.959472	M021	OFF
2011-02-01 00:13:23.844987	M014	ON
2011-02-01 00:13:25.654645	M014	OFF
2011-02-01 00:13:29.702735	M014	ON
2011-02-01 00:13:47.349267	M014	OFF
2011-02-01 00:13:56.321621	M014	ON
2011-02-01 00:13:58.732122	M020	ON
2011-02-01 00:13:59.802724	M014	OFF
2011-02-01 00:14:03.677391	M020	OFF
2011-02-01 00:14:48.769219	M020	ON
2011-02-01 00:14:50.773948	M020	OFF
2011-02-01 00:15:00.42042	M020	ON
2011-02-01 00:15:02.171121	M014	ON
2011-02-01 00:15:02.594702	M020	OFF
2011-02-01 00:15:06.069232	M014	OFF
2011-02-01 00:17:15.81823	M014	ON
2011-02-01 00:17:30.12266	M014	OFF
2011-02-01 00:18:08.224578	M014	ON
2011-02-01 00:18:16.259263	M014	OFF
2011-02-01 00:18:16.648148	M014	ON
2011-02-01 00:18:18.85076	M014	OFF
2011-02-01 00:18:44.014386	T002	18
2011-02-01 00:21:12.253185	M014	ON
2011-02-01 00:21:13.306771	M014	OFF
2011-02-01 00:21:17.65329	M014	ON
2011-02-01 00:21:20.540488	M014	OFF
2011-02-01 00:21:24.375649	M014	ON
2011-02-01 00:21:38.451273	M014	OFF
2011-02-01 00:22:02.701476	M014	ON
2011-02-01 00:22:03.31623	M014	OFF
2011-02-01 00:22:05.513722	M014	ON
2011-02-01 00:22:08.649211	M014	OFF
2011-02-01 00:22:12.254463	M014	ON
2011-02-01 00:22:14.899841	M014	OFF
2011-02-01 00:22:15.742403	M014	ON
2011-02-01 00:22:18.432404	M014	OFF
2011-02-01 00:22:36.193623	M014	ON
2011-02-01 00:22:39.577129	M014	OFF
2011-02-01 00:22:49.949212	M014	ON
2011-02-01 00:22:52.380359	M014	OFF
2011-02-01 00:23:13.5293	M014	ON
2011-02-01 00:23:22.030404	M014	OFF
2011-02-01 00:23:34.490495	M014	ON
2011-02-01 00:23:38.123358	M014	OFF
2011-02-01 00:23:38.503979	M014	ON
2011-02-01 00:23:42.796168	M014	OFF
2011-02-01 00:23:44.081309	M014	ON
2011-02-01 00:23:48.23894	M014	OFF
2011-02-01 00:23:49.676446	M014	ON
2011-02-01 00:23:51.52694	M014	OFF
2011-02-01 00:24:11.231184	M014	ON
2011-02-01 00:24:13.248942	M014	OFF
2011-02-01 00:24:19.135347	M014	ON
2011-02-01 00:24:20.669205	M014	OFF
2011-02-01 00:24:23.099913	M014	ON
2011-02-01 00:24:25.310202	M014	OFF
2011-02-01 00:24:27.744933	M014	ON
2011-02-01 00:24:32.279165	M014	OFF
2011-02-01 00:24:36.110859	M014	ON
2011-02-01 00:24:38.098406	M014	OFF
2011-02-01 00:24:41.94336	M014	ON
2011-02-01 00:24:43.243822	M014	OFF
2011-02-01 00:24:44.751316	M014	ON
2011-02-01 00:24:46.730992	M014	OFF
2011-02-01 00:24:47.321493	M014	ON
2011-02-01 00:24:50.701841	M014	OFF
2011-02-01 00:25:28.646594	M014	ON
2011-02-01 00:25:32.484776	M014	OFF
2011-02-01 00:25:34.032008	M014	ON
2011-02-01 00:25:43.768332	M014	OFF
2011-02-01 00:25:45.721382	M014	ON
2011-02-01 00:25:47.01603	M014	OFF
2011-02-01 00:25:47.62885	M014	ON
2011-02-01 00:25:49.401986	M014	OFF
2011-02-01 00:25:52.416599	M014	ON
2011-02-01 00:25:54.642232	M014	OFF
2011-02-01 00:26:01.754814	M014	ON
2011-02-01 00:26:03.749408	M014	OFF
2011-02-01 00:26:04.788971	M014	ON
2011-02-01 00:26:08.430888	M014	OFF
2011-02-01 00:26:33.740035	M014	ON
2011-02-01 00:26:41.275683	M014	OFF
2011-02-01 00:26:42.34081	M014	ON
2011-02-01 00:26:47.598695	M014	OFF
2011-02-01 00:26:52.153913	M014	ON
2011-02-01 00:26:53.703172	M014	OFF
2011-02-01 00:27:04.33724	M014	ON
2011-02-01 00:27:06.305032	M014	OFF
2011-02-01 00:27:10.136818	M014	ON
2011-02-01 00:27:12.130922	M014	OFF
2011-02-01 00:27:13.629531	M014	ON
2011-02-01 00:27:15.604909	M014	OFF
2011-02-01 00:27:21.443942	M014	ON
2011-02-01 00:27:22.512012	M014	OFF
2011-02-01 00:27:23.824179	M014	ON
2011-02-01 00:27:25.02203	M014	OFF
2011-02-01 00:27:41.560102	M014	ON
2011-02-01 00:27:42.595529	M014	OFF
2011-02-01 00:27:46.113085	M014	ON
2011-02-01 00:27:49.390299	M014	OFF
2011-02-01 00:27:53.561463	M014	ON
2011-02-01 00:27:55.421998	M014	OFF
2011-02-01 00:27:56.487786	M014	ON
2011-02-01 00:27:59.88428	M014	OFF
2011-02-01 00:28:16.285617	M014	ON
2011-02-01 00:28:20.233545	M014	OFF
2011-02-01 00:28:23.808917	M014	ON
2011-02-01 00:28:25.421894	M014	OFF
2011-02-01 00:28:30.996505	M014	ON
2011-02-01 00:28:33.780325	M014	OFF
2011-02-01 00:28:34.591911	M014	ON
2011-02-01 00:28:40.03471	M014	OFF
2011-02-01 00:28:40.647688	M014	ON
2011-02-01 00:28:43.081924	M014	OFF
2011-02-01 00:28:52.658577	M014	ON
2011-02-01 00:28:54.623841	M014	OFF
2011-02-01 00:28:58.233949	M014	ON
2011-02-01 00:28:59.311466	M014	OFF
2011-02-01 00:29:12.422714	M014	ON
2011-02-01 00:29:18.147874	M014	OFF
2011-02-01 00:29:21.285819	M014	ON
2011-02-01 00:29:23.949071	M014	OFF
2011-02-01 00:29:27.291384	M014	ON
2011-02-01 00:29:29.729251	M014	OFF
2011-02-01 00:29:51.19751	M014	ON
2011-02-01 00:29:55.475907	M014	OFF
2011-02-01 00:29:56.549778	M014	ON
2011-02-01 00:30:10.017244	M014	OFF
2011-02-01 00:30:10.393331	M014	ON
2011-02-01 00:30:12.602913	M014	OFF
2011-02-01 00:30:14.800384	M014	ON
2011-02-01 00:30:23.571536	M014	OFF
2011-02-01 00:30:32.628686	M014	ON
2011-02-01 00:30:36.46713	M014	OFF
2011-02-01 00:30:38.457582	M014	ON
2011-02-01 00:30:40.907172	M014	OFF
2011-02-01 00:30:43.199676	M014	ON
2011-02-01 00:30:50.143176	M014	OFF
2011-02-01 00:30:50.759696	M014	ON
2011-02-01 00:30:56.484751	M014	OFF
2011-02-01 00:30:56.894084	M014	ON
2011-02-01 00:30:59.725971	M014	OFF
2011-02-01 00:31:05.699627	M014	ON
2011-02-01 00:31:13.699742	M014	OFF
2011-02-01 00:31:14.549781	M014	ON
2011-02-01 00:31:17.204413	M014	OFF
2011-02-01 00:31:18.019587	M014	ON
2011-02-01 00:31:20.011023	M014	OFF
2011-02-01 00:31:25.008158	M014	ON
2011-02-01 00:31:31.571376	M014	OFF
2011-02-01 00:31:31.957944	M014	ON
2011-02-01 00:31:37.409666	M014	OFF
2011-02-01 00:31:38.919306	M014	ON
2011-02-01 00:31:41.152382	M014	OFF
2011-02-01 00:31:41.536172	M014	ON
2011-02-01 00:31:50.943174	M014	OFF
2011-02-01 00:32:11.046196	M014	ON
2011-02-01 00:32:13.007309	M014	OFF
2011-02-01 00:32:25.9058	M014	ON
2011-02-01 00:32:29.501292	M014	OFF
2011-02-01 00:32:31.802684	M014	ON
2011-02-01 00:32:35.151843	M014	OFF	Eating end
2011-02-01 00:32:35.527761	M020	ON
2011-02-01 00:32:37.524172	M020	OFF
2011-02-01 00:32:58.888464	M020	ON
2011-02-01 00:33:00.871125	M020	OFF
2011-02-01 00:33:01.708872	M020	ON
2011-02-01 00:33:03.428673	M020	OFF
2011-02-01 00:33:05.19335	M018	ON
2011-02-01 00:33:08.309008	M018	OFF
2011-02-01 00:33:08.687665	M014	ON
2011-02-01 00:33:17.744207	M014	OFF
2011-02-01 00:33:23.152507	M014	ON
2011-02-01 00:33:27.123187	M014	OFF
2011-02-01 00:33:47.989586	M014	ON
2011-02-01 00:33:54.756921	T001	17
2011-02-01 00:33:55.445513	M014	OFF
2011-02-01 00:33:58.053103	M020	ON
2011-02-01 00:33:59.333181	M020	OFF
2011-02-01 00:34:18.276907	M020	ON
2011-02-01 00:34:19.682105	M020	OFF
2011-02-01 00:34:20.284593	M020	ON
2011-02-01 00:34:25.288662	M020	OFF
2011-02-01 00:34:31.217787	M020	ON
2011-02-01 00:34:34.24615	M020	OFF
2011-02-01 00:34:35.065811	M018	ON
2011-02-01 00:34:41.596177	M021	ON
2011-02-01 00:34:44.022262	M018	OFF
2011-02-01 00:34:44.397415	M022	ON
2011-02-01 00:34:45.949187	M021	OFF
2011-02-01 00:34:49.311937	M028	ON
2011-02-01 00:34:50.364248	M026	ON
2011-02-01 00:34:51.002768	M022	OFF
2011-02-01 00:34:52.288858	M028	OFF
2011-02-01 00:35:07.178418	M028	ON
2011-02-01 00:35:09.19154	M022	ON
2011-02-01 00:35:09.931405	M026	OFF
2011-02-01 00:35:10.008729	M028	OFF
2011-02-01 00:35:11.968948	M022	OFF
2011-02-01 00:35:12.036339	M021	ON
2011-02-01 00:35:15.094195	M020	ON
2011-02-01 00:35:15.509558	M021	OFF
2011-02-01 00:35:16.771391	M020	OFF
2011-02-01 00:36:05.02356	M020	ON
2011-02-01 00:36:06.789319	M020	OFF
2011-02-01 00:36:08.554225	M020	ON
2011-02-01 00:36:10.478573	M020	OFF
2011-02-01 00:36:14.111024	M020	ON
2011-02-01 00:36:16.429188	M021	ON
2011-02-01 00:36:17.94948	M020	OFF
2011-02-01 00:36:19.046693	M022	ON
2011-02-01 00:36:19.144847	M021	OFF
2011-02-01 00:36:20.366799	M023	ON
2011-02-01 00:36:21.319634	M028	ON
2011-02-01 00:36:21.91725	M023	OFF
2011-02-01 00:36:22.911838	M022	OFF
2011-02-01 00:36:22.979336	M026	ON
2011-02-01 00:36:24.72	M028	OFF
2011-02-01 00:36:32.031795	M027	ON
2011-02-01 00:36:38.661396	M027	OFF
2011-02-01 00:36:39.048924	M028	ON
2011-02-01 00:36:41.5011	M022	ON
2011-02-01 00:36:41.884651	M028	OFF
2011-02-01 00:36:42.26018	M026	OFF
2011-02-01 00:36:44.981677	M022	OFF
2011-02-01 00:36:45.058733	M021	ON
2011-02-01 00:36:47.418942	M021	OFF
2011-02-01 00:36:48.273838	M021	ON
2011-02-01 00:36:50.279411	M014	ON
2011-02-01 00:36:51.695821	M021	OFF
2011-02-01 00:36:52.272012	M014	OFF
2011-02-01 00:36:57.970257	M014	ON
2011-02-01 00:37:00.374595	M021	ON
2011-02-01 00:37:01.320017	M020	ON
2011-02-01 00:37:01.714155	M014	OFF
2011-02-01 00:37:02.465027	M008	ON
2011-02-01 00:37:02.541403	M021	OFF
2011-02-01 00:37:02.997482	M020	OFF
2011-02-01 00:37:03.293312	M006	ON
2011-02-01 00:37:04.855187	M008	OFF
2011-02-01 00:37:05.477578	M006	OFF
2011-02-01 00:37:07.905114	M007	ON
2011-02-01 00:37:10.335338	M003	ON
2011-02-01 00:37:11.633212	M007	OFF
2011-02-01 00:37:12.233485	M007	ON
2011-02-01 00:37:13.32471	M003	OFF
2011-02-01 00:37:14.353355	M003	ON
2011-02-01 00:37:16.538578	M007	OFF
2011-02-01 00:37:17.135679	M003	OFF
2011-02-01 00:37:18.195907	M003	ON
2011-02-01 00:37:23.414606	M003	OFF
2011-02-01 00:37:24.253086	M003	ON
2011-02-01 00:37:25.521762	M003	OFF
2011-02-01 00:37:31.234177	M003	ON
2011-02-01 00:37:32.760201	M003	OFF
2011-02-01 00:37:34.622047	M007	ON
2011-02-01 00:37:37.28198	M007	OFF
2011-02-01 00:37:39.876618	M007	ON
2011-02-01 00:37:39.94539	M003	ON
2011-02-01 00:37:41.164908	M003	OFF
2011-02-01 00:37:42.918391	M007	OFF
2011-02-01 00:37:43.729244	M003	ON
2011-02-01 00:37:44.107032	M007	ON
2011-02-01 00:37:45.172751	M003	OFF
2011-02-01 00:37:47.065715	M007	OFF
2011-02-01 00:37:49.520126	M007	ON
2011-02-01 00:37:50.578477	M003	ON
2011-02-01 00:37:52.33183	M007	OFF
2011-02-01 00:37:53.689864	M003	OFF
2011-02-01 00:37:58.446369	M003	ON
2011-02-01 00:38:03.084325	M007	ON
2011-02-01 00:38:04.388147	M003	OFF
2011-02-01 00:38:04.762985	M007	OFF
2011-02-01 00:38:05.37211	M007	ON
2011-02-01 00:38:06.699037	M007	OFF
2011-02-01 00:38:07.073613	M003	ON
2011-02-01 00:38:08.840271	M007	ON
2011-02-01 00:38:09.215505	M002	ON
2011-02-01 00:38:10.762082	M007	OFF
2011-02-01 00:38:11.594718	M002	OFF
2011-02-01 00:38:17.490494	M007	ON
2011-02-01 00:38:19.702744	M007	OFF
2011-02-01 00:38:20.249935	M005	ON
2011-02-01 00:38:20.319654	M007	ON
2011-02-01 00:38:22.270901	M004	ON
2011-02-01 00:38:22.338121	M003	OFF
2011-02-01 00:38:22.800729	M005	OFF
2011-02-01 00:38:26.301472	M007	OFF
2011-02-01 00:38:26.680094	M004	OFF
2011-02-01 00:38:58.717958	T001	17.5
2011-02-01 00:38:58.856805	T005	17.5
2011-02-01 00:38:59.008734	T003	18
2011-02-01 00:38:59.143097	T002	17.5
2011-02-01 00:38:59.292578	T004	19
2011-02-01 00:40:39.884648	M007	ON
2011-02-01 00:40:41.871752	M007	OFF
2011-02-01 00:44:02.215293	T001	17
2011-02-01 00:44:49.639753	M004	ON
2011-02-01 00:44:50.280325	M007	ON
2011-02-01 00:44:52.232931	M004	OFF
2011-02-01 00:44:53.505201	M005	ON
2011-02-01 00:44:55.960652	M007	OFF
2011-02-01 00:44:57.395363	M007	ON
2011-02-01 00:45:00.748311	M005	OFF
2011-02-01 00:45:01.197356	M005	ON
2011-02-01 00:45:05.500571	M005	OFF
2011-02-01 00:45:05.894297	M005	ON
2011-02-01 00:45:08.895028	M007	OFF
2011-02-01 00:45:09.481566	M005	OFF
2011-02-01 00:45:36.788756	M006	ON
2011-02-01 00:45:37.210576	M008	ON
2011-02-01 00:45:37.783536	M020	ON
2011-02-01 00:45:38.628777	M006	OFF
2011-02-01 00:45:40.338774	M008	OFF
2011-02-01 00:45:41.173302	M013	ON
2011-02-01 00:45:43.371645	M009	ON
2011-02-01 00:45:46.420968	M010	ON
2011-02-01 00:45:46.579442	M013	OFF
2011-02-01 00:45:47.576092	M013	ON
2011-02-01 00:45:48.559384	M010	OFF
2011-02-01 00:45:48.635444	M012	ON
2011-02-01 00:45:49.870234	M009	OFF
2011-02-01 00:45:50.242884	M012	OFF
2011-02-01 00:45:54.204961	M013	OFF
2011-02-01 00:45:55.000363	M020	OFF
2011-02-01 00:46:02.759923	M020	ON
2011-02-01 00:46:06.372133	M020	OFF
2011-02-01 00:46:08.561209	M020	ON
2011-02-01 00:46:16.053809	M008	ON
2011-02-01 00:46:18.283096	M020	OFF
2011-02-01 00:46:18.650063	M008	OFF
2011-02-01 00:46:21.567312	M007	ON
2011-02-01 00:46:24.234715	M003	ON
2011-02-01 00:46:26.074613	M007	OFF
2011-02-01 00:46:26.91421	M003	OFF
2011-02-01 00:46:27.720344	M003	ON
2011-02-01 00:46:37.11924	M007	ON
2011-02-01 00:46:40.36856	M007	OFF
2011-02-01 00:46:47.916401	M002	ON
2011-02-01 00:46:53.844302	M003	OFF
2011-02-01 00:46:56.411314	M002	OFF
2011-02-01 00:46:56.516398	M003	ON	Sleeping begin
2011-02-01 00:46:58.424698	M003	OFF
2011-02-01 00:47:17.39885	M003	ON
2011-02-01 00:47:19.489033	M003	OFF
2011-02-01 00:47:20.771306	M003	ON
2011-02-01 00:47:24.352015	M003	OFF
2011-02-01 00:47:34.02474	M003	ON
2011-02-01 00:47:39.784906	M003	OFF
2011-02-01 00:49:05.884218	T001	17.5
2011-02-01 00:49:12.359863	M003	ON
2011-02-01 00:49:13.897234	M003	OFF
2011-02-01 00:59:12.930684	T004	18.5
2011-02-01 00:59:41.27394	M003	ON
2011-02-01 00:59:43.239573	M003	OFF
2011-02-01 00:59:47.332757	M003	ON
2011-02-01 00:59:49.755342	M003	OFF
2011-02-01 01:03:07.811108	M003	ON
2011-02-01 01:03:09.549747	M003	OFF
2011-02-01 01:04:06.004363	M003	ON
2011-02-01 01:04:07.997048	M003	OFF
2011-02-01 01:04:16.478554	T001	17
2011-02-01 01:04:16.561089	T005	18.5
2011-02-01 01:04:16.746657	T003	17.5
2011-02-01 01:06:44.444502	M003	ON
2011-02-01 01:06:46.224942	M003	OFF
2011-02-01 01:09:01.132186	M003	ON
2011-02-01 01:09:04.951891	M003	OFF
2011-02-01 01:09:20.012358	T001	18
2011-02-01 01:09:20.105346	T005	23.5
2011-02-01 01:09:20.185006	T003	19.5
2011-02-01 01:09:20.27471	T002	20
2011-02-01 01:09:20.354353	T004	19
2011-02-01 01:14:23.531937	T005	20
2011-02-01 01:14:23.61462	T002	19
2011-02-01 01:14:23.738733	T004	19.5
2011-02-01 01:15:30.080383	M003	ON
2011-02-01 01:16:05.351743	M003	OFF
2011-02-01 01:16:05.745402	M003	ON
2011-02-01 01:16:08.194283	M003	OFF
2011-02-01 01:16:08.83295	M003	ON
2011-02-01 01:16:19.646608	M003	OFF
2011-02-01 01:16:21.410172	M003	ON
2011-02-01 01:16:27.250637	M006	ON
2011-02-01 01:16:27.317853	M003	OFF
2011-02-01 01:16:27.770254	M003	ON
2011-02-01 01:16:28.827783	M006	OFF
2011-02-01 01:16:34.965265	M003	OFF
2011-02-01 01:16:35.589225	M002	ON
2011-02-01 01:16:36.391594	M003	ON
2011-02-01 01:16:37.453198	M002	OFF
2011-02-01 01:16:41.611678	M003	OFF
2011-02-01 01:16:44.986778	M003	ON
2011-02-01 01:16:47.642642	M002	ON
2011-02-01 01:16:49.164216	M003	OFF
2011-02-01 01:16:49.999896	M002	OFF
2011-02-01 01:16:59.490861	M003	ON
2011-02-01 01:17:01.008973	M003	OFF
2011-02-01 01:17:02.172204	M003	ON
2011-02-01 01:17:04.368582	M003	OFF
2011-02-01 01:19:20.927977	M002	ON
2011-02-01 01:19:22.888663	M002	OFF
2011-02-01 01:19:27.47769	T001	17.5
2011-02-01 01:19:27.559675	T005	18.5
2011-02-01 01:19:27.65029	T003	18.5
2011-02-01 01:19:27.73746	T002	18
2011-02-01 01:19:27.890212	T004	19
2011-02-01 01:19:28.644693	M003	ON
2011-02-01 01:19:31.912381	M003	OFF
2011-02-01 01:19:33.689586	M003	ON
2011-02-01 01:19:38.688231	M003	OFF
2011-02-01 01:22:34.567955	M003	ON
2011-02-01 01:22:38.971791	M003	OFF
2011-02-01 01:22:46.044544	M003	ON
2011-02-01 01:22:46.642272	M002	ON
2011-02-01 01:22:51.402737	M002	OFF
2011-02-01 01:22:51.798401	M003	OFF
2011-02-01 01:23:45.952137	M003	ON
2011-02-01 01:23:54.320149	M003	OFF
2011-02-01 01:24:22.680302	M002	ON
2011-02-01 01:24:24.550006	M002	OFF
2011-02-01 01:24:31.051207	T005	18
2011-02-01 01:24:31.143829	T003	18
2011-02-01 01:24:31.275197	T002	17.5
2011-02-01 01:24:31.409221	T004	18.5
2011-02-01 01:27:23.739833	M003	ON
2011-02-01 01:27:25.685895	M003	OFF
2011-02-01 01:29:15.280825	M003	ON
2011-02-01 01:29:17.499739	M003	OFF
2011-02-01 01:29:21.0902	M003	ON
2011-02-01 01:29:23.085613	M003	OFF
2011-02-01 01:29:34.582004	T001	17
2011-02-01 01:31:52.867763	M003	ON
2011-02-01 01:32:03.430039	M003	OFF
2011-02-01 01:32:05.422249	M003	ON
2011-02-01 01:32:14.155929	M003	OFF
2011-02-01 01:34:38.179827	T005	17.5
2011-02-01 01:34:38.262942	T003	17.5
2011-02-01 01:34:38.437385	T002	17
2011-02-01 01:39:05.676178	M003	ON
2011-02-01 01:39:08.222943	M003	OFF
2011-02-01 01:39:09.170379	M003	ON
2011-02-01 01:39:19.041306	M003	OFF
2011-02-01 01:49:49.240938	T005	21
2011-02-01 01:49:49.338445	T003	18
2011-02-01 01:49:49.472561	T002	18
2011-02-01 01:49:49.606566	T004	18
2011-02-01 01:54:52.786399	T001	17.5
2011-02-01 01:54:52.869104	T005	21.5
2011-02-01 01:54:53.021028	T003	19.5
2011-02-01 01:54:53.15749	T002	19.5
2011-02-01 01:54:53.291391	T004	19
2011-02-01 01:59:56.357598	T001	17
2011-02-01 01:59:56.440462	T005	19
2011-02-01 01:59:56.586635	T003	18.5
